Match_ID,Date,Sport,Home_Team,Away_Team,Home_Team_Odds,Away_Team_Odds,Draw_Odds,Predicted_Winner,Actual_Winner
M00001,2024-01-24,Basketball,Gonzalezmouth Tigers,Hernandezfurt Lions,3.62,3.99,,Hernandezfurt Lions,Hernandezfurt Lions
M00002,2025-05-03,Basketball,Rothstad Wolves,North Manuel Eagles,1.84,,,Rothstad Wolves,Rothstad Wolves
M00003,2025-04-10,Baseball,Aliciaport Lions,West Gabrielton Lions,3.93,3.29,,Aliciaport Lions,Aliciaport Lions
M00004,2024-08-02,Tennis,Lake Samantha Eagles,Simonshire Lions,3.7,3.61,,Simonshire Lions,Lake Samantha Eagles
M00005,2024-10-05,Tennis,Brendanport Eagles,Williamsfurt Bears,2.26,2.52,,Williamsfurt Bears,Brendanport Eagles
M00006,2024-01-05,Basketball,Jacobchester Tigers,Stevenside Lions,2.65,2.37,,Jacobchester Tigers,Jacobchester Tigers
M00007,2024-01-28,Baseball,Kevintown Lions,Boydland Lions,3.24,4.63,,Boydland Lions,Boydland Lions
M00008,2024-11-19,Tennis,Port Kimberly Tigers,Bakermouth Wolves,4.86,3.86,,Bakermouth Wolves,Port Kimberly Tigers
M00009,2024-06-26,Hockey,Lake Karen Bears,Lake Jennifer Lions,1.35,1.89,4.88,Lake Jennifer Lions,Lake Karen Bears
M00010,2025-02-24,Basketball,Brownfurt Eagles,West Paul Eagles,4.65,4.32,,Brownfurt Eagles,West Paul Eagles
M00011,2025-01-01,Basketball,New Kathy Tigers,West Melvin Lions,4.89,4.15,,West Melvin Lions,New Kathy Tigers
M00012,2024-11-03,Hockey,Brownmouth Tigers,Smithmouth Wolves,4.79,2.43,4.12,Draw,Brownmouth Tigers
M00013,2025-06-08,Tennis,Mcdonaldhaven Eagles,Caldwellside Tigers,4.97,3.0,,Mcdonaldhaven Eagles,Mcdonaldhaven Eagles
